Cities,Latitude,Longitude,MaxTemp,Humidity,Cloudiness,WindSpeed
Airai,-8.93,125.41,17.69,87,4,0.87
Albany,42.65,-73.75,8.33,42,75,8.7
Semporna,4.48,118.61,23.0,100,75,1.1
Busselton,-33.64,115.35,9.44,80,59,8.69
Atbasar,51.81,68.36,-2.33,81,71,2.91
Ponta do Sol,-20.63,-46.0,19.6,96,100,2.94
Puerto Ayora,-0.74,-90.35,27.0,57,20,9.8
Vaini,15.34,74.49,18.06,96,43,1.22
Karratha,-20.74,116.85,22.57,42,48,9.59
Caravelas,-17.73,-39.27,24.15,85,0,4.37
Pandamatenga,-18.54,25.64,22.48,67,100,4.65
Bluff,-23.58,149.07,20.34,80,24,5.29
Chuy,-33.69,-53.46,19.42,78,94,5.42
Butaritari,3.07,172.79,29.11,77,100,6.36
Codajas,-3.84,-62.06,30.3,65,100,1.5
Bonthe,7.53,-12.5,25.91,86,98,2.09
Severo-Kurilsk,50.68,156.12,4.45,96,100,2.83
Osakarovka,50.56,72.58,-2.58,66,4,4.76
Takoradi,4.89,-1.75,26.74,80,0,2.32
Margate,-43.03,147.26,16.11,87,75,1.5
Ashtian,34.52,50.0,8.2,60,0,1.55
Mataura,-46.19,168.86,15.48,63,12,1.81
Nisia Floresta,-6.09,-35.21,27.0,74,20,5.7
Vista Hermosa,14.92,-92.27,30.0,79,40,2.6
Semey,50.41,80.25,5.62,37,100,4.26
Mbandaka,0.05,18.26,22.75,80,32,0.67
Punta Arenas,-53.16,-70.91,8.0,65,75,6.7
Rikitea,-23.12,-134.97,21.81,63,3,2.83
Daru,-9.07,143.21,25.24,85,83,3.32
Atuona,-9.8,-139.03,26.68,75,17,6.7
Coihaique,-45.58,-72.07,13.0,43,40,2.1
Saint-Georges,46.12,-70.67,3.33,67,100,6.26
Tuktoyaktuk,69.44,-133.03,-6.0,92,90,2.1
Puerto Escondido,15.86,-97.07,31.0,66,40,1.5
Saskylakh,71.97,114.09,-20.4,97,79,2.02
Fort-Shevchenko,44.51,50.26,3.85,69,100,8.12
East London,-33.02,27.91,21.07,82,100,8.81
Nikolskoye,59.7,30.79,0.56,93,90,1.0
Coquimbo,-29.95,-71.34,17.0,59,1,6.7
Santa Marta,11.24,-74.21,33.0,66,40,6.7
Kruisfontein,-34.0,24.73,19.37,57,100,2.93
Saint-Philippe,45.36,-73.48,5.56,52,90,11.8
Lebu,8.96,38.73,16.0,48,20,4.6
Bethel,60.79,-161.76,-2.0,86,90,8.7
Vila Velha,-3.71,-38.6,27.0,69,23,2.6
Bambous Virieux,-20.34,57.76,21.11,88,40,1.5
Neftcala,39.37,49.25,16.69,90,100,11.72
Nome,30.04,-94.42,15.0,38,1,1.31
Blackwater,51.33,-0.78,15.0,93,75,5.7
Padang,-0.92,100.36,18.16,96,100,0.46
Lagoa,37.14,-8.45,20.0,93,20,6.2
Bredasdorp,-34.53,20.04,14.0,71,67,0.5
Ancud,-41.87,-73.83,12.0,66,75,7.2
Mar del Plata,-46.43,-67.52,17.53,28,81,2.02
Iskateley,67.68,53.15,-9.7,93,99,4.67
Thinadhoo,0.53,72.93,27.17,80,0,4.38
Araouane,18.9,-3.53,27.59,18,81,4.15
Dingle,11.0,122.67,23.79,91,100,1.95
Port Alfred,-33.59,26.89,18.89,88,100,1.34
Rio Gallegos,-51.62,-69.22,14.0,20,40,9.8
Rome,41.89,12.48,19.0,87,95,1.0
Fortuna,40.6,-124.16,18.89,45,20,4.1
Batticaloa,7.71,81.69,23.96,89,100,1.16
Horodnya,51.89,31.6,0.97,96,94,2.87
Cape Town,-33.93,18.42,17.22,93,20,1.5
Hobart,-42.88,147.33,16.11,87,75,1.5
Malangali,-8.57,34.85,16.77,69,0,4.35
Ostersund,63.18,14.64,1.0,80,98,5.7
Jamestown,-33.21,138.6,14.06,88,100,2.27
Sorong,-0.86,131.25,22.74,98,100,0.47
Ust-Nera,64.57,143.24,-16.69,99,84,0.16
Esperance,-33.86,121.89,10.0,93,75,6.2
Yellowknife,62.45,-114.38,-5.0,92,75,1.0
San Juan,-31.54,-68.53,35.03,13,0,8.21
Erenhot,43.65,111.97,6.93,59,100,3.29
Meulaboh,4.14,96.13,25.39,85,100,3.55
Ushuaia,-54.81,-68.31,5.0,60,40,13.4
New Norfolk,-42.78,147.06,16.11,87,75,1.5
Nanortalik,60.14,-45.24,1.09,84,100,3.91
Tessalit,20.2,1.01,27.25,19,93,5.37
Constantine,36.36,6.61,11.0,87,20,2.6
Bijar,35.87,47.6,8.18,58,0,2.19
Qaqortoq,60.72,-46.03,1.0,86,48,2.1
Castro,-42.48,-73.76,12.0,66,75,7.2
Portland,43.66,-70.25,11.11,32,1,7.7
Hanover,52.37,9.74,8.33,93,75,3.1
Shenjiamen,29.96,122.3,20.12,62,40,3.53
Nicoya,10.15,-85.45,31.0,62,40,6.7
Adrar,27.87,-0.29,22.0,33,0,5.1
Avarua,-21.21,-159.78,25.0,69,94,2.1
Panjab,34.38,67.02,-0.63,84,18,1.16
Broken Hill,-31.97,141.45,19.0,59,40,5.1
Zhangjiakou,40.77,114.88,5.41,84,100,1.75
Pangkalanbuun,-2.68,111.62,21.69,90,46,0.32
Yaan,7.38,8.57,25.97,82,100,1.86
Tucumcari,35.17,-103.73,14.0,20,1,9.8
Grindavik,63.84,-22.43,4.0,80,75,5.7
Eldorado,-24.52,-48.11,24.35,71,89,2.07
Denpasar,-8.65,115.22,26.0,94,20,2.1
Aklavik,68.22,-135.01,-8.0,92,5,1.5
Poum,41.28,20.71,10.0,76,75,2.1
Fenyi,27.82,114.69,14.23,57,37,0.53
Bahia Blanca,-38.72,-62.27,24.0,64,40,8.2
Broome,52.47,1.45,14.0,93,75,3.1
Victoria,5.28,115.24,25.0,94,90,4.28
Tabou,4.42,-7.36,24.09,89,0,0.78
Taoudenni,22.68,-3.98,25.11,20,0,5.18
Chebenki,51.93,55.71,-3.0,86,90,3.0
Batagay,67.65,134.64,-17.47,94,94,1.08
Carnarvon,-30.97,22.13,19.14,31,91,7.85
Port Macquarie,-31.43,152.91,23.33,56,0,4.6
Muroto,33.37,134.14,11.92,78,22,2.27
Agadez,16.97,7.99,29.33,10,65,4.52
Oum Hadjer,13.3,19.7,29.77,19,0,3.21
Nelson Bay,-32.72,152.14,22.22,64,0,4.1
Qaanaaq,77.48,-69.36,-9.88,62,92,4.8
Hasaki,35.73,140.83,10.0,76,40,2.1
Maine-Soroa,13.21,12.02,27.97,13,0,3.26
